,Movie Name,Genre,Synopsis,Synopsis Sentiment
0,Please Stand By,Autistic Spectrum Disorder,"Wendy (Dakota Fanning)âa brilliant young autistic woman  who has a fixation on Star Trekâlives a routine life in an Oakland, California group home where she is monitored by her primary caregiver, Scottie (Toni Collette). She spends her time writing a 450-page Star Trek script to enter in Paramount Pictures' screenwriting contest in hopes of winning the $100,000 prize. Wendy is visited by her sister Audrey (Alice Eve), who shows Wendy pictures of her infant daughter, Ruby, and reveals that she is selling their childhood home. Wendy asks Audrey to take her home, arguing that she will be able to buy back the house and help Audrey care for Ruby once she wins the screenwriting contest. Audrey refuses, informing Wendy she isn't capable of caring for a baby. Unfortunately, Wendy has a meltdown and Audrey leaves the group home weeping.
After Wendy misses the mail-in date to send her script to Paramount Pictures, she decides to deliver the script herself. She leaves the group home early the next morning and is followed by the group home's small dog, Pete. Wendy and Pete board a bus to Los Angeles, but are kicked off and left by the side of the road after Pete urinates on the bus. Wendy then wanders into a shanty town, where she is mugged of most of her money. She then wanders to a nearby shop and is nearly swindled out of the last of her money by an employee. An elderly woman named Rose (Marla Gibbs) intervenes to stop the employee from exploiting Wendy. Rose sympathizes with Wendy as her grandson also has autism, and lets Wendy accompany her on the senior citizens' bus. The bus driver subsequently falls asleep at the wheel, crashing the bus without warning.
Following the bus crash, Wendy wakes up in a hospital in Bakersfield. Still determined to deliver her script as planned, Wendy leaves Pete at the hospital and escapes. During her escape, Wendy loses part of her script by chance. She gathers used paper and begins rewriting the script. Simultaneously, Audrey and Scottie have realized Wendy is missing. They begin to search for her and file a missing persons report. After correctly deducing that Wendy left for Los Angeles to personally deliver her script, Scottie and her son Sam (River Alexander) leave on the road. The Bakersfield hospital notifies Scottie and Audrey of Wendy's whereabouts; police continue the search from there. Scottie and Sam find the missing script pages while scouring the hospital.
Wendy then attempts to buy a bus ticket to Los Angeles, but is unable as she has no money. She ultimately stows away on the next bus to Los Angeles, hiding herself inside a baggage compartment. Upon her arrival in Los Angeles, Wendy wanders around until two police officers recognize her from the missing persons report. Fortunately, Officer Frank (Patton Oswalt) gains Wendy's trust by speaking to her in Klingon. The officers bring Wendy to the police station, where she is reunited with Audrey and Scottie. They bring Wendy to Paramount Pictures so she can deliver her script as planned.
Despite being stonewalled by a bad-mannered mailroom worker, Wendy is able to sneak past security and submit the script to the turn-in box. Satisfied that she has completed her mission, Wendy informs her sister she did this to prove that she was more capable than Audrey thought. Wendy returns to the group home where she later receives a letter from Paramount Pictures informing her that her script was not chosen, but encouraging her to continue writing. Despite the rejection from the movie studio, she is satisfied with everything she has accomplished. Wendy visits Audrey at their childhood home and holds her niece in her arms for the first time, while Audrey embraces Wendy.",POSITIVE
1,A Brilliant Young Mind,Autistic Spectrum Disorder,"Nathan Ellis, a 9 year old maths prodigy, has just lost his father in a car accident. Nathan is diagnosed as being on the autism spectrum early in the film, and his father was the only one who was able to connect normally with him. Although Nathan values his mother, Julie, he shuns any physical contact with her and treats her as more of a caretaker than a parent. Wanting to make sure Nathan is not distracted from his studies, Julie enrolls him in advanced classes at a new school (filmed at High Storrs School in Sheffield, United Kingdom). There, he comes under the tutelage of teacher Martin, also a math genius, who has multiple sclerosis. Martin sees himself in Nathan, once a promising young mind in the field of mathematics, who gave it all up once he was diagnosed with his illness.
Seven years later, Martin is preparing Nathan to compete for a place in the International Mathematical Olympiad, a prestigious high school competition consisting of the world's best young mathematicians. This year, it is to be held at Cambridge, after a two-week math camp in Taiwan where the students will study for the test that determines the winners. Nathan fears he is not good enough to qualify but ends up doing well enough to accompany 15 other British teenagers to Taiwan.
Suddenly thrust out of his comfort zone, Nathan finds himself no longer the smartest maths whiz in the room, and his social anxieties nearly paralyse his performance. He has trouble reading the social cues of others and flinches at the slightest physical contact with another person. Nathan is paired with a female Chinese student, Zhang Mei, who slowly helps him adjust to his new surroundings and helps him fight through his fears. By the skin of their teeth, Nathan and Zhang make the cut to compete in Cambridge.
Back in England, Zhang stays with Nathan and his mother, who is shocked to find that his behaviour has transformed into something more normal. She becomes aware that he may have feelings for Zhang, which she asks him. Not fully understanding the concept of love, Nathan is unsure how to express his feelings. He keeps his emotions bottled up as they all travel to Cambridge and settle in for the Olympiad.
Things quickly unravel when Zhang's uncle catches her in Nathan's room one morning. This causes Zhang to withdraw from the competition and leave. Nathan, who now believes he loves Zhang, is torn between her and the Olympiad. When he sits down among hundreds of other students around the world for the exam, the first question triggers memories of his dead father, which combined with his newly lost love, creates an emotional overload. At the pinnacle moment of his mathematical career, Nathan must make a decision whether to stay and pursue his dream, or give in to the pain that has haunted him for most of his life.
Nathan rushes out of the exam hall with Martin and Julie in tow. The latter finds him in a cafÃ©, where he speaks of his emotional overload, both from the loss of his father and the girl who appreciated and loved him, Zhang Mei. They embrace at last, then Julie drives Nathan to the station to fetch back Zhang Mei.",POSITIVE
2,Temple Grandin,Autistic Spectrum Disorder,"Temple Grandin is an uncommunicative child who is prone to tantrums and is diagnosed with autism. The medical consensus at that time was that autism was a form of schizophrenia resulting from insufficient maternal affection. Despite recommendations to place her in an institution, Grandin's mother hires therapists and works to help her daughter adapt to social interaction.

As a teenager, Temple travels to her aunt and uncle's ranch to work. She observes cows being placed into a squeeze chute to calm them, and, during an anxiety attack, she uses the chute to calm herself. Inspired by her teacher, Dr. Carlock, to pursue science, she is admitted to Franklin Pierce College where she develops an early version of the squeeze machine to calm herself during stressful times. Her college misinterprets the use of the machine as a sexual act and forces her to remove it. In response, she develops a scientific protocol to test subjects' reactions to the machine, proving it to be a purely therapeutic device. Grandin graduates with a degree in psychology and pursues a master's degree in animal science.

Temple faces sexism while attempting to integrate into the world of cattle ranching but ultimately designs a new dip structure designed to allow cattle to voluntarily move through rather than being forced. Initially, the device works as intended, and garners favorable coverage in local press, but the ranch hands are dismissive of her design and alter it, resulting in the drowning of several cows. Angered, Grandin visits Carlock, and leaves the meeting encouraged to continue her efforts to improve the industry.

Temple and her mother attend the 1981 National Autistic Convention. The speaker is unable to answer many of the questions from the audience, but Temple speaks out from the crowd explaining how she has adapted, and tells of her mother's contributions to her success. The audience calls her to the podium, marking Temple's transition into autism advocacy.",POSITIVE
3,Ocean Heaven,Autistic Spectrum Disorder,"Ocean Heaven is about a terminally ill father, Sam Wong/Wang Xincheng (Jet Li) as he works his job in an aquarium and struggles to look after his 21-year-old son with autism, Dafu/David (Wen Zhang). Sam has single-handedly brought up his son since his wife died in a swimming accident 14 years ago and looks after him day and night. Upon discovering Sam has less than five months to live, he multiplies his efforts to help Dafu learn basic tasks in order to care for himself, as well as searching for a home for him, before he passes away. As the story progresses, the growing relationship between father and son, as well as the community around them, become clearer. Ling ling (Gwei Lun-mei) plays the role of a clown who is part of a small traveling circus (they perform in the aquarium for a short period of time) and who gets on well with Dafu, leading to a close friendship between them.
Though Dafu struggles to learn many basic tasks, Sam perseveres in teaching his son the tasks that he will need to know how to perform himself once his father dies. Though Sam never gave up teaching and explaining things to Dafu in a positive and supportive and memorable manner, he did contemplate ending his and Dafu's existence together rather than leave his child to suffer without him. Sam, at this point had yet to tell anyone how far his health had deteriorated, until one day while returning from their hometown, his neighbor tells Sam his doctor came from the city with bags of free medicine and waited two hours for him. Meanwhile, Principal Liu, of the boarding school for mentally challenged children that Dafu attended as a child, recommends Dafu to a newly opened institution where he can stay after his father dies.
Dafu continues learning, though Sam must move into the institution with him to help him adjust. Ling Ling, knowing that she is about to have to leave with her circus, teaches Dafu to pick up the phone in the aquarium when he hears it, and she will talk to him.
Ling Ling leaves with her circus. Sam, for the first time in the movie, swims in the aquarium with his son, dressed in a sea turtle costume he made by hand, telling his son not to be afraid when he is gone; he will be like the turtles in the aquarium, always swimming close by with him. He almost drowns but is helped from water by Mr. Tang and while they chat, Sam reveals his wife's death might not have been an accident as she was a very good swimmer and they had recently found out Dafu is autistic. Sam doesn't blame her for not being able to handle their son's circumstances. There was only one instance in which Sam loses his composure with Dafu, while he is nearing the end, and still working and trying to teach his son how to do his job, Dafu is distracted and Sam yells at him. Less than a moment later and Sam is already mending fences and reassuring his son.
Sam eventually dies, and his funeral is attended by close friends and family. Dafu waves good bye to the sky/Sam, as it seems he has learned people live there, something Ling Ling explained to him earlier when she spoke of her grandmother with him before she left town. After the funeral, Dafu is seen doing some of the things that his father struggled so much to teach him with success. He cooks by himself, knows how to ride the bus, and picks up the phone when Ling Ling calls, and working at the ocean park, a place Mr. has opened the doors for Dafu at any time of the day. It is implied that from then on, Dafu will know how to lead his life on his own, though he still has Sam's old friends helping him along the way.",POSITIVE
4,My Name is Khan,Autistic Spectrum Disorder,"Rizwan Khan, a Muslim, grew up with his brother, Zakir, and his widowed mother, Razia, in a middle-class family in Borivali, Mumbai. His autism leads to special tutoring from a reclusive scholar and extra attention from his mother, all which leads to a heightened level of jealousy from Zakir, who eventually leaves his family for a life in San Francisco. Despite this, Zakir sponsors Rizwan to come and live with him after their mother's death. Zakir's wife Haseena diagnoses Rizwan as having Asperger syndrome. Rizwan also begins to work for Zakir's. He meets Hindu woman Mandira and her young son Sameer, born from a previous marriage. Despite Zakir's uncertainty, they marry and live in the fictional Banville, adopting Rizvan's surname as theirs. They also live next door to the Garrick family; Sam is close to their young son, Reese.
The Khans' perfect existence gets disrupted following the September 11 attacks. Mark goes to cover the war in Afghanistan but dies there. The Khans begins to experience the post 9/11 prejudice, and Reese begins to turn against Sam, who finds himself in a racist fight against college ruffians, who damage his heart, killing him. Shocked Mandira blames Rizwan, stating that Sam died solely because of Rizwan's surname. Consequently, she declares a separation, sarcastically telling him that to be back together, he has to tell the people and President of the United States that his name is Khan and he is not a terrorist.
Rizwan thus sets out on a road trip to first meet President George W. Bush and later President-elect Barack Obama. He travels to the fictional Wilhemina, Georgia, and befriends Mama Jenny and her son Joel. While at a mosque in Los Angeles, he overhears violent rhetoric from a doctor, Faisal, who is quoting religious texts, and defies angrily Faisal's statements before walking out to drop a message for the Federal Bureau of Investigation (FBI). While waiting in a crowd to meet President Bush, he says, ""My name is Khan and I am not a terrorist!"", repeatedly. He is arrested due to misinterpretation as ""I am a terrorist.""
Rizwan is interrogated as a terrorist suspect but is released after a media campaign by Indian student reporters Raj, Komal and Bobby Ahuja, who prove his innocence by revealing his attempts to inform the FBI about Faisal. After his release, he returns to the hurricane-hit Wilhemina to help Mama Jenny, Joel, and everyone there, attracting attention. Reese confesses to Mandira and reveals the identity of the boys who beat up Sam. She informs Detective Garcia, who has been assisting her on the case, and the boys, including Reese, are eventually arrested.
Mandira joins Rizwan in Georgia. At the moment she arrives, Rizwan is stabbed by a Faisal follower and is hospitalized. Rizwan survives and meets Obama, who tells him: ""Your name is Khan and you are not a terrorist.""",POSITIVE
5,Mercury Rising,Autistic Spectrum Disorder,"During a bank robbery hostage situation undercover FBI agent Art Jeffries attempts unsuccessfully to negotiate for more time. The FBI storms the bank killing the robbers and in the aftermath, Art strikes the bureaucratic agent in charge, leading to his demotion to a desk job.
A nine-year-old autistic boy, Simon Lynch is given a sophisticated puzzle book by his teacher. Simon quickly solves a particular puzzle 
and phones a number encoded in the solution. This call reaches two National Security Agency cryptographers, Dean Crandell and Leo Pedranski, who created the new cypher Simon has cracked. Pedranski and Crandell report the situation to their boss, Lieutenant Colonel Nick Kudrow. He severely rebukes the pair for their unauthorized actions, describing Simon and his abilities as a national security threat. Two assassins, Peter Burrell and Shayes, are deployed by Kudrow to terminate the boy and his parents, Martin and Jenny.
Posing as a police detective, Burrell gains entry to the Lynch household and murders both Simon's mother and father with a silenced pistol. Searching the house, he is unable to find Simon and hears the 911 operator trying to speak with Martin who was able to call 911 before dying. Burrell stages a murder-suicide and is driven away from the house by Shayes.
Art is sent to investigate and finds Simon in a hidden crawl space in his bedroom closet. Simon is taken to a protection ward at the hospital. A nurse explains to Art that autism doesn't mean ""nothing gets through"", it means ""everything gets through"", so he can get frightened or confused, especially by others' emotions, and probably can't be questioned. Burrell impersonates a doctor and makes another attempt on Simon's life. The timely arrival of Art saves Simon, who sees through Burrellâs facade and flees the premises with Simon. Later, while on a train, Simon shows Art his Picture Exchange Communication System cards with photos of his family. Art, understanding, adds one writing ""Art is a friend."" Burrellâs partner, Shayes, tries to kill Simon, but Art intervenes. He struggles with the killer, eventually managing to knock him off the train and onto the tracks just before another locomotive passes, running Shayes over and instantly killing him.
The NSA, under Kudrow's direction, frames Art as the kidnapper of Simon. However, fellow agent and friend Tommy Jordan doesn't believe the story. Art borrows Jordan's car and takes Simon back to his house. Simon again calls the telephone number written into the code and Art is able to talk to Crandell and Pedranski. Crandell arranges a meeting at the Wrigley Building by the next morning. Art goes to the meeting, leaving Simon under the care of a woman in a coffee shop, Stacey Siebring. Art and Crendell meet and Crandell tells Art about Mercury and Kudrow, but is shot dead by Burrell before he can reveal everything.
Art returns to the coffee shop, and finds that Stacey and Simon have formed a friendship. The guys then leave, but narrowly escape another attack before meeting with Jordan who is now convinced after learning of the incident. Later, Art and Simon go to Siebringâs house, asking if they can stay there. She reluctantly agrees.
Meanwhile, Pedranski, having learned Crandell's fate, also tries to reveal Kudrow's unlawful actions by writing letters on a typewriter: one to Art and a carbon copy for the Senate Oversight Committee, but Burrell tracks Pedranski down and murders him as well, confiscating the letters. However, the assassin overlooks Pedranski's carbon copies, which his girlfriend, NSA analyst Emily Lang, takes to the FBI. Jordan discreetly arranges for her to meet with Art to show them the carbon copies; covered in Pedranskiâs fingerprints, they become crucial evidence. Art then goes to Kudrowâs home during his birthday party, and demands that Kudrow announce on national TV that the Mercury Encryption Project is a failure.
Jordan, under Art's suggestion, arranges for Simon to go into the Witness Protection Program. After the meeting, the friends discusses the Witness Protection meeting by phone, unaware their conversation is being monitored by Kudrow. Stacey and Simon leave her house for the pick-up point, while Jordan heads for the FBI Director's Office. There, Kudrow dissuades Lomax, the FBI Special Agent in Charge, by revealing the fact that Jordan forged the witness protection documents.
After Kudrow leaves with him being in charge for the Witness Protection, Tommy shows the carbon paper evidence to Lomax and confirms that the fingerprint markings on it were Pedranski's, now fully validating the evidence against Kudrow. Art, with Jordan and an FBI task force's help, sets a trap at the meeting spot. Armed with an M16 rifle, Burrell fires at the FBI squad who arrives to apprehend Kudrow, resulting in a shootout with Jordan protecting Stacey. Simon retrieves Art's gun, and the battle ends with Burrell being slashed to death by glass shards and Kudrow being shot by Art and falling to his death.
Art and Siebring later visit Simon (now living with foster parents) at his school. Simon embraces the FBI agent as a welcome friend, having finally accepted him as a person he trusts.",POSITIVE
6,Dying Young ,Cancer,"Hilary O'Neil is a beautiful, outgoing yet cautious young woman who has had little luck in work or love. After recently parting ways with her boyfriend when she caught him cheating, Hilary finds herself living with her eccentric mother. One day, Hilary answers an ad in a newspaper for a nurse only to find herself being escorted out before the interview starts.
Victor Geddes is a well-educated, rich, and shy 28-year-old. As the film progresses, Victor's health worsens progressively, due to leukemia. Despite his father's protests, Victor hires Hilary to be his live-in caretaker while he undergoes a traumatic course of chemotherapy. Hilary becomes insecure of her ability to care for Victor after her first exposure to the side effects of his chemotherapy treatment. She researches leukemia and stocks healthier food in the kitchen.
Victor is ""finished"" with his chemotherapy and suggests they take a vacation to the coast. They rent a house and Hilary begins to feel that she is no longer needed to care for him. They fall in love and continue living at the coast. Victor hides his use of morphine to kill the pain. During dinner with one of the friends they made at the coast, Victor starts acting aggressively and irrationally. He collapses and is helped to bed. Hilary searches the garbage and discovers his used syringes. She confronts him and he admits he was not finished with his chemotherapy. Victor explains that he wants quality in his life and Hilary says that he has been lying to her. She calls his father, who comes to take him home, but Victor wants to stay for one last Christmas party. Hilary and Victor reconnect at the party and he tells her that he is leaving with his father to go back to the hospital in the morning.
After speaking with Victor's father, who says Victor wants to spend one night alone before leaving, Hilary goes back to the house they rented only to find Victor packing clothes, ready to run away and not go with his father to the hospital. Hilary confronts him about running away and Victor admits that he is afraid of hoping. At this confession, Hilary finally tells Victor she loves him and they then decide to go back to the hospital, where he will fight for his life with Hilary. The last scene of the film shows Victor and Hilary leaving the house, which has a small picture of Gustav Klimt's Adam and Eve (the first painting Victor shows Hilary) in the window.",POSITIVE
7,One Week,Cancer,"Ben Tyler (Joshua Jackson) is a young elementary school English teacher living in Toronto, Ontario. Ben is told that he has been diagnosed with an aggressive form of cancer in its fourth and final stage.

On the way home, he encounters an elderly man Marc Strange selling his 1973 Norton Commando motorcycle. The narrator notes that Ben's fiancée Samantha Pierce (Liane Balaban) despises motorcycles, but he buys it. Finishing a Tim Hortons coffee, he rolls up the cup's rim to see if he has won a prize, but sees only a message that reads ""Go West Young Man"".

He breaks the news of his cancer to Samantha, as well as his desire to take a two-day excursion on the motorcycle. She objects, arguing that he should begin treatment immediately, but he feels a need for an adventure before ""becoming a patient"". He asks Samantha to come with him, but she refuses, and he ultimately sets out from Toronto by himself. Early in the trip he begins to question the trip's worth, and turns back. But he encounters two young men bicycling from Newfoundland to Vancouver on a wager of a case of beer, and his adventure seems reasonable by comparison, so he resumes it.

He finds that Samantha has packed a copy of a book he had written as a child, hoping that an attached note about reading it to his children someday would persuade him to return and begin treatment. But the story, about a mythical creature called Grumps, which his father had said would bring good fortune to any child who managed to find one, strengthens his resolve to symbolically resume his search for Grumps.

Ben begins to question his future with Samantha: He recalls their discovery while planning their wedding that their religious beliefs  Ben has none  differ, and they have a telephone argument about compromises she's made for him. He meets a middle-aged man (Gord Downie) staying in the same motel, who successfully treated his cancer years before; he tells Ben that if he's unsure if he's in love, he isn't.

His motorcycle breaks down in rural Saskatchewan. Nearby, he finds a dead dog and phones its owner, a middle-aged rancher. In gratitude, she picks up him and his motorcycle, takes him on a scenic horseback ride, and fixes the minor problem with his bike. She is twice-divorced with a son and granddaughter she rarely sees, but the narrator explains that the time with Ben inspires her to seek the son out, coincidentally meeting the new ""love of her life"".

Continuing the trip beyond the promised two days, he arrives at Banff National Park in Alberta, and checks into an expensive hotel suite. Samantha has told his family about his cancer, and is flying out to get him. He goes on what he fears will be a last adventure in the woods, where he gets lost and meets a backpacker, Tracy (Emm Gryner) exploring the backcountry with her dog. At her campsite, she chides Ben for giving up too easily on his dreams: of a singing career quashed by a teacher's harsh remarks, and a novel for which he failed to find a publisher. Ben spends the night with her. The next morning, Samantha has arrived earlier than expected, and Ben admits to sleeping with Tracy. He also tells Samantha that he does not love her like she loves him; she leaves him and returns home.

Ben makes his way to the west coast of Vancouver Island. At a diner, he finds himself unable to eat his meal, and meanwhile a truck hits his motorcycle in the parking lot, wrecking it. He rents a surfboard and takes it out into the Pacific, but rather than catching a wave to ride back in, he keeps going, despondent. He sees a humpback whale dramatically breach the surface. Ben remembers that his father had said to him as a child that anyone who searched for Grumps would ""know him when you see him""; Ben is satisfied that he has, and returns home. He and Samantha discuss his prospects and their impending breakup, and he goes home to see his family.",POSITIVE
8,My Sister's Keeper ,Cancer,"Conceived via in vitro fertilization, 11-year old Anna Fitzgerald was born as a savior sister for her 15-year-old sister, Kate, who has acute promyelocytic leukemia, as neither her parents, firefighter Brian and lawyer Sara, nor older brother Jesse are a genetic match. Beginning with the harvest of her umbilical cord at birth, Anna has donated compatible blood and stem cells to Kate, and her life is one of hospitalizations, growth hormone injections, opioid painkillers, sleeping pills, bleeding, and infections. Sara has no qualms over using Anna's body to treat Kate's, and fully believes she is doing so willingly, while Brian is closer to Anna and has his own misgivings.

After Kate goes into kidney failure, Anna  with Jesse's help  approaches attorney Campbell Alexander, and tells him she wishes to sue for medical emancipation, on the basis that she will be required to donate one of hers, and that having just a single kidney will severely restrict her quality of life. Campbell, whose covert epilepsy lends him sympathy to her predicament, decides to take her case pro bono and, representing Anna as her guardian ad litem, he files a suit for partial termination of parental rights. This immediately causes a rift between Anna and Sara, and Brian moves Anna into his fire station to separate them.

Flashbacks detail Kate and Anna's close relationship and how Kate's illness has affected Jesse, who has run away from his summer camp. Kate meets a fellow cancer patient, Taylor, and they begin dating. They slow-dance at the hospital's prom for teen patients and later have sex. A few days later, Kate is upset to have not seen Taylor since. Learning that Taylor has died, she attempts suicide by overdosing on painkillers but Anna stops her. Kate expresses hope that after she dies she will see Taylor.

After Sara is unable to get the suit thrown out, Anna's case proceeds to trial. Shortly before the hearing, Kate requests to go to the beach one last time. Brian obtains permission and discharges her from the hospital for the day. Sara demands that Kate be returned to the hospital, but Brian refuses and threatens to divorce Sara if she does not join them. They enjoy one final family outing.

At the hearing, Jesse witnesses Sara's aggressive cross-examination of Anna on the stand, and finally having had enough, he forces Anna to reveal that she is in fact acting under Kate's wishes, and not her own. Whilst Anna had genuinely wanted to donate her kidney, Kate  having endured 11 years of her own and her family's suffering  had asked her to refuse. Sara is forced to acknowledge that Kate has been trying to tell her for a long time, that she is ready to die. Kate dies in her sleep later that day with her mother by her side.

After Kate's death, Campbell reports that Anna has won the case. Now reconciled, the family moves on with their lives. Sara, who gave up practicing law to look after Kate, returns to work, Brian retires from firefighting and counsels troubled youths, and Jesse receives an arts scholarship in New York. Anna reveals that every year on Kate's birthday, they go to Montana, which was her ""most favorite place in the world"". She concludes that she was not born merely to save her sister, she was born because she had a sister, and that their relationship continues even in death.",POSITIVE
9,50/50 ,Cancer,"Mild-mannered Adam Lerner is a 27-year-old public radio journalist in Seattle. His best friend Kyle, who is rather crude, disapproves of his girlfriend Rachael, an artist. After experiencing severe pains in his back, Adam is diagnosed with schwannoma neurofibrosarcoma, a cancerous tumor in his spine, and must undergo chemotherapy. He sees on the Internet that the survival rate for his diagnosis is 50/50. After Adam reveals this, his emotional mother, Diane, who nurses her Alzheimer's-stricken husband Richard, offers to care for him, but Adam declines as Rachael has already promised to do so.

At one of his treatments, Adam meets Mitch and Alan, two older cancer patients also undergoing chemo, and they become friends, bonding through cannabis-laced macaroons. Rachael is uncomfortable during his treatments and is often late picking him up. She also gets him a retired racing greyhound named Skeletor as a pet. Throughout Adam's struggle, Kyle attempts to keep up his morale, helping Adam shave his head and using his friend's illness to pick up women. While on a date, Kyle sees Rachael kissing another man at a gallery and later forces her to confess her infidelity to Adam, who breaks up with her. He follows Kyle's suggestion, and they use his illness to pick up two women at a bar.

Meanwhile, Adam is being treated by a young, inexperienced therapist, Katherine McKay, a PhD candidate doing the clinical aspect of her thesis at the hospital. While their relationship and sessions begin unevenly, he slowly begins to open up to her. After she drives him home after a chemo session, they develop a rapport, blurring their professional and personal relationship. She helps Adam understand his mother's situation: loved ones can feel just as much stress as the patient, which helps Adam repair the rift between him and his mother.

When Mitch dies, Adam's mortality hits him, causing him to lash out at Katherine verbally, and shortly thereafter, he is informed that he needs to undergo risky surgery. The night before the operation, Adam argues with an intoxicated Kyle, demanding that he let him drive his car even though he has never learned and has no driver's license. After a near miss, Adam breaks down and berates Kyle for seemingly not taking his condition seriously and using it for his own gain. Adam then calls Katherine and tells her he wishes she was his girlfriend, but he also says he is tired of being sick and just wants his cancer to be over. That night, dropping off Kyle (who was too drunk to drive), Adam finds the book Facing Cancer Together from their trip to a bookstore where Kyle picked up a shop clerk. The book is filled with notes, highlighted paragraphs, and turned-down pages. He realizes that Kyle sincerely cares about him and has been earnestly trying to help him since his diagnosis.

The next day, Kyle drops Adam off at the hospital, where Adam embraces him for being a good friend and apologizes for the previous night. After saying his tearful farewells to his family, he undergoes surgery. Katherine goes to the waiting room and inadvertently meets Adam's parents and Kyle during the wait. After the surgery, they are told that although the bone degradation was worse than they believed, the surgeons removed the tumor successfully, and Adam will recover. Sometime later, he is preparing for a date with Katherine, while Kyle encourages him and bandages the incision on his back. After Kyle leaves, Katherine asks, ""Now what?"" and Adam smiles, finally free of cancer.",POSITIVE
